relation_id,source_person_id,target_person_id,standard_relation_type,relation_risk_level,confidence,context,human_verdict,human_note
REL-01276,ZLH-014,ZLH-123,交游,low,medium,"、呐喊、抗议!郭沫若、成仿吾、冯乃超碰在一起就结成新一轮的“创造社“,出版新一轮的《创造月刊》和《文化批判3;鲁迅、冯雪峰、柔石碰在一起就出版《朝花》周刊和《萧; 求平淡些,鲁迅、瞿秋白、茅盾、冯乃超等儿位左联作家的作品则分别署用隋洛文、董龙、朱瑶、李易水等化名,以瞒过书报审查官的眼睛。月第期又发表凄受华、冰心、戴望",,
REL-01282,ZLH-014,ZLH-131,交游,low,medium,"失败后来上海,与美国进步女作家史沫特莱过从甚密。年陪问她首次访问鲁迅。同年秋,参与中国左翼作家联盟的发起工作。在年月日《剜芽月刊》1卷期发; ,潘汉年、周文(以上陈二善),冯乃超,郑伯奇(以上陈青生),夏衍、阿英、白薇、洪深(以上王文英),洪灵非、蒋光慈、柔石、李伟椒、殴夫、冯铿、冯宪章、刘一梦、彭家",,
REL-01287,ZLH-014,ZLH-137,交游,low,medium,"求平淡些,鲁迅、瞿秋白、茅盾、冯乃超等儿位左联作家的作品则分别署用隋洛文、董龙、朱瑶、李易水等化名,以瞒过书报审查官的眼睛。月第期又发表凄受华、冰心、戴望",,
REL-01291,ZLH-014,ZLH-144,师生关系,critical,medium,"(22)致上海反战会议各国代表巴比塞同志等的欢迎词………(23)两个月计列.[23)中国左翼作家联盟致美国作家代表大会的贺信………; 巴比墙等的文章。还出版了《纪念巴比塞)《罗曼,罗兰七十诞辰纪念、《纪念高尔基)》、《追悼鲁迅先生》4个特辑。年月日《申报》发表石吟《东京中国留“学生; 、参加左联诗歌组的活动、欢迎“巴比塞代表团“、参加飞行集会等。难忘的往事",,
REL-01293,ZLH-014,ZLH-150,同属组织,critical,low,"学运动及左联产生之历史的意义(冯乃超)……; 雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉等都是它的组织者“和积极筹备者,瞿秋日、茅盾、丁玲、周扬等都曾是宁的重要领导人,郭沫若则是东享; 动及左联产生之历史的意义论文。冯乃超作,载《新地月刊}1930年月日",,
REL-01305,ZLH-015,ZLH-027,签名联署,low,medium,"样的工作的精神同月日,和萧军、沙汀、艾芜、周文、蒋牧良、以群、欧阳山、张天翼、草明、王任叔、聂绀弩、陈白尘、周而复、凡容、东平等出席第二次小说家座谈会,研; 同志事件抗议书,鲁迅发去唁电,郁达夫、茅盾、洪深、鲁迅、田汉、丁玲等九位作家联名发表(为横死之小林遗族募捐启》慰伶小林君家族,表示中国著作界对小林君之敬意。“5; 、李辉英、艾芜、阿英、洪深、郜达夫、张天翼、庄启东、郑伯奇、穆木天、魏猛",,
REL-01323,ZLH-015,ZLH-053,签名联署,low,medium,"同志事件抗议书,鲁迅发去唁电,郁达夫、茅盾、洪深、鲁迅、田汉、丁玲等九位作家联名发表(为横死之小林遗族募捐启》慰伶小林君家族,表示中国著作界对小林君之敬意。“5",,
REL-01333,ZLH-015,ZLH-073,亲属关系,high,medium,"象记)}、《租妻》两书被查禁。王余杞(1905一)东翼作家。笔名隅棠、曼因等,四川自贡市人。.早年在北平铁道管理学院读书,喜爱文学,1929年去上海实习时,经郁",,
REL-01350,ZLH-015,ZLH-113,文学论战,low,medium,"者的悲哀“,是“隐遁主义“。而郁达夫“对于社会的态度与上述二人没有差别。“这些批判当然是错误的。文章对张资平的批判则是正确的。月日该刊第期又刊登李初梨《",,
REL-01364,ZLH-015,ZLH-132,交游,low,medium,"就此事商请鲁迅协助,鲁迅推荐了郁达夫、张天的小说.闭年月,中苏两国政府恢复邦交,左联发表中国著作家为中苏复交致苏联电》,他在电文上签名,同月,长籍小说《齿; 0月日鲁迅逝世,远在福州的郁达夫闻此噩耗,立即乘轮来沪,航行途中写下了“鲁迅蛛死,精“神当与我中华民族永生“的题间。日下午参加鲁迅营礼,并亲自抬榷。同年; 依》(萧乾)、《紫藤与茵葡》(郁达夫)、《移行》(张天翼)、《十字架》(",,
REL-01368,ZLH-015,ZLH-139,交游,low,medium,"抗议书,不仁又发表鲁迅、茅盾、郁达夫、叶绍钧、陈望道、洪深、杜衡、田汉、丁玲等位; 办者。年月,标鲁迅、郁达夫、郑伯奇等共人联名发裕《中国自由运动大同盟宣音》,“坚欧为自由而斗争“。合年月日出席中国左翼作家联盟成工大会,并继鲁; 多膑二被日本反动派杀害,5月,郁达夫、苟眉、叶绍钓、陈望道、洪深、杜衡、鲁迅、田汉、丁玲",,
REL-01369,ZLH-015,ZLH-141,交游,low,medium,"《文化月报》创刊号发表左联庆祈高尔基文学活动四十周年的祝词《高尔基的四十年创作生活一一我们的庆祝》.贺词由鲁迅、茅盾、丁玲、曹靖华、洛扬(汞雪峰)、奕如(夏衍); 1932年月日,与茅盾、郁达夫等位中国作家联名致电南京国民党当局,要求释放囚禁南京狱中的国际友人牛兰夫妇。月日,为纪念高尔基文学创作年,鲁迅; 同志事件抗议书,鲁迅发去唁电,郁达夫、茅盾、洪深、鲁迅、田汉、丁玲等九位",,
REL-01371,ZLH-015,ZLH-144,交游,low,medium,"同年在《大众文艺?上发表翻诙的巴比塞和杰克。伦敦的短篇小说。年月,在上海参与发起左翼文艺园体“时代美术社“同年月日出席中国左翼作家联盟成工大会,为; 就此事商请鲁迅协助,鲁迅推荐了郁达夫、张天的小说.闭年月,中苏两国政府恢复邦交,左联发表中国著作家为中苏复交致苏联电》,他在电文上签名,同月,长籍小说《齿; 迅的意见.鲁迅在复函中向他推荐郁达夫和张天翼的作品。年月加入中",,
REL-01382,ZLH-016,ZLH-024,交游,low,medium,"方殴、方纪、尹庚、公木、甘迈、艾芜、石喝冲、石灵、东平、叶灵凤、叶沉、叶以群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边; ,左联诣生前已从事创作和翻译的柔石、洪灵菲、应修人、潘漠华、郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,; 年月日,胡也频和李伟森、柔石、殷夫、冯铿等先后被捕,名年月?日,",,
