sheet_name,row_number,primary_key,issue_summary,source_url,evidence_ref_used,confidence
Sheet2,2387,2386|ZLH-030|ZLH-104,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第103页,low
Sheet2,2390,2389|ZLH-030|ZLH-112,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第563页,low
Sheet2,2391,2390|ZLH-030|ZLH-116,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,,左联回忆录 第700页,low
Sheet2,2393,2392|ZLH-030|ZLH-120,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第103页; 左联词典 第563页,low
Sheet2,2394,2393|ZLH-030|ZLH-123,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,,左联词典 第308页,low
Sheet2,2395,2394|ZLH-030|ZLH-127,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第496页,low
Sheet2,2401,2400|ZLH-030|ZLH-139,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第520页,low
Sheet2,2404,2403|ZLH-030|ZLH-150,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据只能支持同属组织或共同组织关联,,左联史 第729页,low
Sheet2,2405,2404|ZLH-031|ZLH-032,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第104页; 左联词典 第563页,low
Sheet2,2406,2405|ZLH-031|ZLH-034,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第25页,low
Sheet2,2407,2406|ZLH-031|ZLH-035,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第104页; 左联词典 第131页; 左联词典 第429页; 左联词典 第483页; 左联词典 第490页,low
Sheet2,2410,2409|ZLH-031|ZLH-038,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第25页,low
Sheet2,2412,2411|ZLH-031|ZLH-041,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第685页,low
Sheet2,2414,2413|ZLH-031|ZLH-043,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第563页,low
Sheet2,2415,2414|ZLH-031|ZLH-045,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第104页; 左联词典 第429页; 左联词典 第563页,low
Sheet2,2416,2415|ZLH-031|ZLH-046,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第685页,low
Sheet2,2417,2416|ZLH-031|ZLH-047,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第424页,low
Sheet2,2418,2417|ZLH-031|ZLH-048,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第104页; 左联词典 第563页,low
Sheet2,2419,2418|ZLH-031|ZLH-053,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第424页,low
Sheet2,2420,2419|ZLH-031|ZLH-054,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第483页,low
Sheet2,2421,2420|ZLH-031|ZLH-055,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第424页,low
Sheet2,2423,2422|ZLH-031|ZLH-059,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第104页; 左联词典 第483页; 左联词典 第563页,low
Sheet2,2424,2423|ZLH-031|ZLH-061,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第25页,low
Sheet2,2425,2424|ZLH-031|ZLH-063,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第25页; 左联史 第424页,low
Sheet2,2426,2425|ZLH-031|ZLH-065,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第563页,low
Sheet2,2427,2426|ZLH-031|ZLH-067,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第483页; 左联词典 第563页,low
Sheet2,2429,2428|ZLH-031|ZLH-073,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第431页,low
Sheet2,2430,2429|ZLH-031|ZLH-077,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第25页; 左联史 第424页,low
Sheet2,2431,2430|ZLH-031|ZLH-080,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第25页; 左联史 第508页,low
Sheet2,2433,2432|ZLH-031|ZLH-083,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第424页,low
Sheet2,2434,2433|ZLH-031|ZLH-091,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第685页,low
Sheet2,2436,2435|ZLH-031|ZLH-097,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第104页,low
Sheet2,2439,2438|ZLH-031|ZLH-104,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第25页,low
Sheet2,2440,2439|ZLH-031|ZLH-105,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第483页,low
Sheet2,2441,2440|ZLH-031|ZLH-106,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第424页,low
Sheet2,2442,2441|ZLH-031|ZLH-107,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第424页,low
Sheet2,2443,2442|ZLH-031|ZLH-112,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第563页,low
Sheet2,2445,2444|ZLH-031|ZLH-119,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第563页,low
